Name,City,State,Category,Population
"Sun Prairie, Wisconsin",Sun Prairie, Wisconsin,city,32894
"Prairie du Sac, Wisconsin",Prairie du Sac, Wisconsin,city,8523
"Oshkosh, Wisconsin",Oshkosh, Wisconsin,city,75154
"Evansville, Wisconsin",Evansville, Wisconsin,city,6033
"Marshfield, Wisconsin",Marshfield, Wisconsin,city,18697
"Grafton, Wisconsin",Grafton, Wisconsin,city,11643
"Cudahy, Wisconsin",Cudahy, Wisconsin,city,18282
"Sheboygan, Wisconsin",Sheboygan, Wisconsin,city,69920
"Caledonia, Wisconsin",Caledonia, Wisconsin,city,25002
"Menomonee Falls, Wisconsin",Menomonee Falls, Wisconsin,city,37443
"Rothschild, Wisconsin",Rothschild, Wisconsin,city,5325
"Weston, Wisconsin",Weston, Wisconsin,city,15167
"Germantown, Wisconsin",Germantown, Wisconsin,city,19982
"Menominee, Wisconsin",Menominee, Wisconsin,city,18025
"New London, Wisconsin",New London, Wisconsin,city,7448
"Reedsburg, Wisconsin",Reedsburg, Wisconsin,city,9476
"Port Washington, Wisconsin",Port Washington, Wisconsin,city,11762
"Kiel, Wisconsin",Kiel, Wisconsin,city,6974
"Mount Horeb, Wisconsin",Mount Horeb, Wisconsin,city,7407
"South Milwaukee, Wisconsin",South Milwaukee, Wisconsin,city,20988
"Elm Grove, Wisconsin",Elm Grove, Wisconsin,city,6170
"Jackson, Wisconsin",Jackson, Wisconsin,city,7107
"Appleton, Wisconsin",Appleton, Wisconsin,city,222222
"Oregon, Wisconsin",Oregon, Wisconsin,city,12448
"Brookfield, Wisconsin",Brookfield, Wisconsin,city,38045
"West Salem, Wisconsin",West Salem, Wisconsin,city,5026
"Cottage Grove, Wisconsin",Cottage Grove, Wisconsin,city,6939
"Saint Francis, Wisconsin",Saint Francis, Wisconsin,city,9442
"Sheboygan Falls, Wisconsin",Sheboygan Falls, Wisconsin,city,7928
"Lake Delton, Wisconsin",Lake Delton, Wisconsin,city,5624
"De Pere, Wisconsin",De Pere, Wisconsin,city,25034
"Stoughton, Wisconsin",Stoughton, Wisconsin,city,13088
"West Allis, Wisconsin",West Allis, Wisconsin,city,59934
"Tomah, Wisconsin",Tomah, Wisconsin,city,9275
"Altoona, Wisconsin",Altoona, Wisconsin,city,7680
"Harrison, Wisconsin",Harrison, Wisconsin,city,9941
"Holmen, Wisconsin",Holmen, Wisconsin,city,9887
"Allouez, Wisconsin",Allouez, Wisconsin,city,13886
"Fox Point, Wisconsin",Fox Point, Wisconsin,city,6670
"West Bend, Wisconsin",West Bend, Wisconsin,city,69577
"Waukesha, Wisconsin",Waukesha, Wisconsin,city,72489
"Bristol, Wisconsin",Bristol, Wisconsin,city,5034
"Glendale, Wisconsin",Glendale, Wisconsin,city,12728
"Monroe, Wisconsin",Monroe, Wisconsin,city,10658
"Two Rivers, Wisconsin",Two Rivers, Wisconsin,city,11153
"Wisconsin Rapids, Wisconsin",Wisconsin Rapids, Wisconsin,city,28277
"Milwaukee, Wisconsin",Milwaukee, Wisconsin,city,1377808
"Antigo, Wisconsin",Antigo, Wisconsin,city,7708
"Bellevue, Wisconsin",Bellevue, Wisconsin,city,15687
"Mequon, Wisconsin",Mequon, Wisconsin,city,24159
"Fort Atkinson, Wisconsin",Fort Atkinson, Wisconsin,city,21299
"Black River Falls, Wisconsin",Black River Falls, Wisconsin,city,5490
"Menasha, Wisconsin",Menasha, Wisconsin,city,17748
"Sturgeon Bay, Wisconsin",Sturgeon Bay, Wisconsin,city,8405
"Whitefish Bay, Wisconsin",Whitefish Bay, Wisconsin,city,13950
"Waunakee, Wisconsin",Waunakee, Wisconsin,city,13755
"Madison, Wisconsin",Madison, Wisconsin,city,439553
"Oak Creek, Wisconsin",Oak Creek, Wisconsin,city,36354
"Wausau, Wisconsin",Wausau, Wisconsin,city,73933
"Shawano, Wisconsin",Shawano, Wisconsin,city,10158
"Ashwaubenon, Wisconsin",Ashwaubenon, Wisconsin,city,17271
"Brown Deer, Wisconsin",Brown Deer, Wisconsin,city,11964
"Racine, Wisconsin",Racine, Wisconsin,city,131467
"Richfield, Wisconsin",Richfield, Wisconsin,city,11696
"Waupun, Wisconsin",Waupun, Wisconsin,city,11302
"Lake Mills, Wisconsin",Lake Mills, Wisconsin,city,6799
"McFarland, Wisconsin",McFarland, Wisconsin,city,8449
"Superior, Wisconsin",Superior, Wisconsin,city,26194
"Green Bay, Wisconsin",Green Bay, Wisconsin,city,208625
"Franklin, Wisconsin",Franklin, Wisconsin,city,36143
"Delafield, Wisconsin",Delafield, Wisconsin,city,7526
"New Richmond, Wisconsin",New Richmond, Wisconsin,city,8859
"Portage, Wisconsin",Portage, Wisconsin,city,10540
"Hudson, Wisconsin",Hudson, Wisconsin,city,24133
"Wauwatosa, Wisconsin",Wauwatosa, Wisconsin,city,48277
"Neenah, Wisconsin",Neenah, Wisconsin,city,25951
"Somers, Wisconsin",Somers, Wisconsin,city,8289
"River Falls, Wisconsin",River Falls, Wisconsin,city,15873
"Milton, Wisconsin",Milton, Wisconsin,city,5581
"Sturtevant, Wisconsin",Sturtevant, Wisconsin,city,6967
"Plymouth, Wisconsin",Plymouth, Wisconsin,city,8900
"Eau Claire, Wisconsin",Eau Claire, Wisconsin,city,107068
"New Berlin, Wisconsin",New Berlin, Wisconsin,city,39740
"Cedarburg, Wisconsin",Cedarburg, Wisconsin,city,11465
"South Charleston, West Virginia",South Charleston, West Virginia,city,12493
"Buckhannon, West Virginia",Buckhannon, West Virginia,city,8560
"Point Pleasant, West Virginia",Point Pleasant, West Virginia,city,10708
"Clarksburg, West Virginia",Clarksburg, West Virginia,city,41453
"Wheeling, West Virginia",Wheeling, West Virginia,city,77206
"Hurricane, West Virginia",Hurricane, West Virginia,city,6542
"Martinsburg, West Virginia",Martinsburg, West Virginia,city,17404
"Fairmont, West Virginia",Fairmont, West Virginia,city,32988
"Logan, West Virginia",Logan, West Virginia,city,9299
"Dunbar, West Virginia",Dunbar, West Virginia,city,7338
"Beckley, West Virginia",Beckley, West Virginia,city,59629
"Saint Albans, West Virginia",Saint Albans, West Virginia,city,10265
"Huntington, West Virginia",Huntington, West Virginia,city,194155
"Charleston, West Virginia",Charleston, West Virginia,city,142858
"Grafton, West Virginia",Grafton, West Virginia,city,5823
"Morgantown, West Virginia",Morgantown, West Virginia,city,72453
"Parkersburg, West Virginia",Parkersburg, West Virginia,city,64253
"Keyser, West Virginia",Keyser, West Virginia,city,6571
"Lewisburg, West Virginia",Lewisburg, West Virginia,city,7099
"Bridgeport, West Virginia",Bridgeport, West Virginia,city,8635
"Ranson, West Virginia",Ranson, West Virginia,city,5173
"New Martinsville, West Virginia",New Martinsville, West Virginia,city,5876
"Weirton, West Virginia",Weirton, West Virginia,city,67082
"Princeton, West Virginia",Princeton, West Virginia,city,5822
"Bluefield, West Virginia",Bluefield, West Virginia,city,41653
"Oak Hill, West Virginia",Oak Hill, West Virginia,city,8338
"Elkins, West Virginia",Elkins, West Virginia,city,10988
"Moundsville, West Virginia",Moundsville, West Virginia,city,8494
"Charles Town, West Virginia",Charles Town, West Virginia,city,23806
"Nitro, West Virginia",Nitro, West Virginia,city,6561
"Shepherdstown, West Virginia",Shepherdstown, West Virginia,city,5045
"Vienna, West Virginia",Vienna, West Virginia,city,10370
"Honolulu, Hawaii",Honolulu, Hawaii,city,833671
"Tequesta, Florida",Tequesta, Florida,city,6094
"North Palm Beach, Florida",North Palm Beach, Florida,city,13057
"Keystone Heights, Florida",Keystone Heights, Florida,city,7134
"Miami Springs, Florida",Miami Springs, Florida,city,14424
"Bradenton, Florida",Bradenton, Florida,city,56508
"Lakeland, Florida",Lakeland, Florida,city,291281
"Winter Springs, Florida",Winter Springs, Florida,city,36635
"Mascotte, Florida",Mascotte, Florida,city,5616
"Miami Lakes, Florida",Miami Lakes, Florida,city,31087
"Estero, Florida",Estero, Florida,city,33048
"Ocala, Florida",Ocala, Florida,city,164712
"Ormond Beach, Florida",Ormond Beach, Florida,city,42816
"Dade City, Florida",Dade City, Florida,city,7134
"Lake Placid, Florida",Lake Placid, Florida,city,16683
"Brooksville, Florida",Brooksville, Florida,city,8147
"Daytona Beach, Florida",Daytona Beach, Florida,city,68055
"Pinellas Park, Florida",Pinellas Park, Florida,city,52854
"Wildwood, Florida",Wildwood, Florida,city,6831
"Edgewater, Florida",Edgewater, Florida,city,22399
"Key Biscayne, Florida",Key Biscayne, Florida,city,13182
"Winter Haven, Florida",Winter Haven, Florida,city,245237
"Pembroke Pines, Florida",Pembroke Pines, Florida,city,170712
"Lighthouse Point, Florida",Lighthouse Point, Florida,city,11242
"Seminole, Florida",Seminole, Florida,city,18576
"New Port Richey, Florida",New Port Richey, Florida,city,16256
"Lake City, Florida",Lake City, Florida,city,25869
"Port Saint Lucie, Florida",Port Saint Lucie, Florida,city,432589
"Quincy, Florida",Quincy, Florida,city,8791
"Venice, Florida",Venice, Florida,city,23020
"Clearwater, Florida",Clearwater, Florida,city,115513
"Lady Lake, Florida",Lady Lake, Florida,city,15317
"Panama City, Florida",Panama City, Florida,city,145239
"South Bay, Florida",South Bay, Florida,city,5156
"Sarasota, Florida",Sarasota, Florida,city,706245
"South Miami, Florida",South Miami, Florida,city,12281
"Frostproof, Florida",Frostproof, Florida,city,8243
"Wauchula, Florida",Wauchula, Florida,city,14408
"Oviedo, Florida",Oviedo, Florida,city,40785
"Orlando, Florida",Orlando, Florida,city,1776841
"Sebring, Florida",Sebring, Florida,city,62814
"Oldsmar, Florida",Oldsmar, Florida,city,14617
"Saint Cloud, Florida",Saint Cloud, Florida,city,51282
